fact_key,country_key,quarter_key,product_key,specialty_key,channel_key,feedback_key,product_details,contact_number,mentions,weighted_calls,spending_total_eur,quality_index,converted_contacts
483,3,20223,1,2,18,300,84,84,84,56,3166,420,84.0
485,3,20224,1,2,18,300,52,52,52,36,2086,260,52.0
487,3,20231,1,2,18,300,130,130,130,109,6250,650,130.0
489,3,20232,1,2,18,300,156,156,182,125,7275,910,156.0
491,3,20233,1,2,18,300,108,108,108,73,4263,540,108.0
493,3,20234,1,2,18,300,56,56,56,25,1498,280,56.0
495,3,20241,1,2,18,300,93,93,124,62,3663,620,93.0
497,3,20242,1,2,18,300,132,132,132,99,5942,660,132.0
499,3,20243,1,2,18,300,165,165,165,106,6343,825,165.0
501,3,20244,1,2,18,300,66,66,66,53,3222,330,66.0
503,3,20251,1,2,18,300,68,68,68,27,1650,340,68.0
505,3,20252,1,2,18,300,238,238,238,197,12110,1190,238.0
507,3,20253,1,2,18,300,155,155,155,105,6517,775,155.0
509,3,20254,1,2,18,300,117,117,117,70,4376,585,117.0
510,3,20261,1,2,18,300,206,206,206,147,9187,1030,206.0
516,3,20253,1,2,18,302,31,31,31,31,1917,155,31.0
518,3,20261,1,2,18,302,58,58,58,46,2898,290,58.0
522,3,20224,1,2,18,307,26,26,26,26,1490,130,26.0
523,3,20234,1,2,18,307,28,28,28,28,1665,140,28.0
525,3,20241,1,2,18,307,31,31,31,31,1831,155,31.0
527,3,20242,1,2,18,307,132,132,132,132,7923,660,132.0
529,3,20243,1,2,18,307,33,33,33,33,1982,165,33.0
531,3,20244,1,2,18,307,99,99,99,73,4431,495,99.0
533,3,20251,1,2,18,307,136,136,136,109,6600,680,136.0
535,3,20252,1,2,18,307,170,170,170,170,10440,850,170.0
537,3,20253,1,2,18,307,124,124,124,124,7667,620,124.0
539,3,20254,1,2,18,307,117,117,117,86,5349,585,117.0
540,3,20261,1,2,18,307,206,206,206,171,10660,1030,206.0
542,3,20233,1,2,18,308,27,27,27,16,947,135,27.0
543,3,20223,1,2,18,309,28,28,28,28,1583,140,28.0
551,3,20254,1,2,18,309,39,39,39,39,2431,195,39.0
552,3,20231,1,2,18,310,26,26,26,26,1488,130,26.0
554,3,20232,1,2,18,310,26,26,26,26,1516,130,26.0
556,3,20242,1,2,18,310,66,66,66,66,3961,330,66.0
558,3,20244,1,2,18,310,33,33,33,13,806,165,33.0
559,3,20251,1,2,18,310,34,34,34,17,1031,170,34.0
561,3,20253,1,2,18,310,31,31,31,31,1917,155,31.0
562,3,20254,1,2,18,310,39,39,39,16,973,195,39.0
563,3,20261,1,2,18,310,29,29,29,29,1811,145,29.0
565,3,20221,1,2,18,311,84,84,84,67,3563,420,84.0
570,3,20241,1,2,18,311,31,31,31,31,1831,155,31.0
573,3,20243,1,2,18,311,33,33,33,33,1982,165,33.0
575,3,20244,1,2,18,311,33,33,33,33,2014,165,33.0
577,3,20251,1,2,18,311,34,34,34,34,2062,170,34.0
579,3,20252,1,2,18,311,34,34,34,34,2088,170,34.0
581,3,20253,1,2,18,311,31,31,31,31,1917,155,31.0
583,3,20254,1,2,18,311,39,39,39,39,2431,195,39.0
584,3,20261,1,2,18,311,89,89,89,89,5553,445,89.0
586,3,20254,1,2,18,276,39,39,39,39,2431,195,
595,3,20234,1,2,18,339,28,28,28,28,1665,140,
597,3,20242,1,2,18,339,33,33,33,33,1981,165,
598,3,20221,1,2,18,349,84,84,84,84,4454,420,84.0
600,3,20221,1,2,18,351,28,28,28,28,1485,140,28.0
601,3,20221,1,2,18,352,28,28,28,28,1485,140,28.0
607,3,20223,1,2,18,355,28,28,28,28,1583,140,28.0
610,3,20231,1,2,18,355,26,26,26,26,1488,130,26.0
613,3,20221,1,2,18,375,28,28,28,28,1485,140,28.0
616,3,20223,1,2,18,375,84,84,84,56,3166,420,84.0
618,3,20224,1,2,18,375,26,26,26,16,894,130,26.0
621,3,20242,1,2,18,375,33,33,33,20,1188,165,33.0
624,3,20252,1,2,18,375,34,34,34,10,626,170,34.0
625,3,20221,1,2,18,377,28,28,28,28,1485,140,28.0
630,3,20222,1,2,18,379,29,29,29,29,1616,145,29.0
631,3,20224,1,2,18,379,26,26,26,26,1490,130,26.0
634,3,20243,1,2,18,381,33,33,33,33,1982,165,33.0
636,3,20244,1,2,18,381,33,33,33,33,2014,165,33.0
637,3,20252,1,2,18,381,34,34,34,14,835,170,34.0
638,3,20221,1,2,18,382,28,28,28,1,74,140,28.0
640,3,20223,1,2,18,382,56,56,56,42,2375,280,56.0
642,3,20224,1,2,18,382,52,52,52,52,2980,260,52.0
646,3,20233,1,2,18,382,27,27,27,27,1579,135,27.0
652,3,20261,1,2,18,382,29,29,29,29,1811,145,29.0
654,3,20221,1,2,18,383,84,84,84,67,3563,420,84.0
656,3,20222,1,2,18,383,58,58,58,58,3233,290,58.0
658,3,20223,1,2,18,383,28,28,28,28,1583,140,28.0
660,3,20224,1,2,18,383,104,104,130,83,4768,650,104.0
662,3,20231,1,2,18,383,130,130,130,78,4464,650,130.0
664,3,20232,1,2,18,383,182,182,182,137,7957,910,182.0
666,3,20233,1,2,18,383,135,135,162,135,7895,810,135.0
668,3,20234,1,2,18,383,112,112,112,90,5328,560,112.0
670,3,20241,1,2,18,383,62,62,62,62,3663,310,62.0
672,3,20242,1,2,18,383,33,33,33,33,1981,165,33.0
674,3,20244,1,2,18,383,33,33,33,33,2014,165,33.0
677,3,20261,1,2,18,383,30,30,30,30,1871,150,30.0
683,3,20222,1,2,18,390,58,58,58,58,3233,290,
686,3,20232,1,2,18,390,52,52,52,52,3031,260,
688,3,20241,1,2,18,390,31,31,31,31,1831,155,
689,3,20243,1,2,18,390,33,33,33,33,1982,165,
693,3,20231,1,2,18,393,26,26,26,26,1488,130,
699,3,20233,1,2,18,394,54,54,54,19,1105,270,
