portfolio_key,portfolio_name,atc4_raw,atc4_code,atc4_description,corporation_group,molecule_list,molecule_count,is_combo_molecule,has_sales,has_promo,has_finance,is_common_three_worlds
59,LANDIOBLOC,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",EUROMED,LANDIOLOL,1,False,False,True,False,False
60,NEOCARDON,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",GAP,ATENOLOL,1,False,False,True,False,False
61,INSUCOR,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",GLENMARK PHARM,NEBIVOLOL,1,False,False,True,False,False
62,BISOPROLOL TECNIGE,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",GRUPO TECNIMEDE,BISOPROLOL,1,False,False,True,False,False
63,TRAKOR,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",I.B.N. SAVIO,CARVEDILOL,1,False,False,True,False,False
64,NEBIVOLOLO ABC,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ICE,NEBIVOLOL,1,False,False,True,False,False
65,BIVOL,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",INNOVIS,NEBIVOLOL,1,False,False,True,False,False
66,CARVEDILEN,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",INNOVIS,CARVEDILOL,1,False,False,True,False,False
67,LOBIBETA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",INNOVIS,NEBIVOLOL,1,False,False,True,False,False
68,BISOPROLOLO ACC,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",INTAS,BISOPROLOL,1,False,False,True,False,False
69,CARVEDILOLO ACC,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",INTAS,CARVEDILOL,1,False,False,True,False,False
70,METOPROLOLO ACC,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",INTAS,METOPROLOL,1,False,False,True,False,False
71,NEBIVOLOLO ACC,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",INTAS,NEBIVOLOL,1,False,False,True,False,False
72,EURADAL,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ITALFARMACO,BISOPROLOL,1,False,False,True,False,False
73,DILATREND,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ITC FARMA,CARVEDILOL,1,False,False,True,False,False
74,TENSIBLOCK,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",JAKINMED,ATENOLOL,1,False,False,True,False,False
75,BISOPROLOL KERN,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",KERN PHARMA,BISOPROLOL,1,False,False,True,False,False
76,PROPRANOLOL KERN,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",KERN PHARMA,PROPRANOLOL,1,False,False,True,False,False
77,TRANDATE,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",KERN PHARMA,LABETALOL,1,False,False,True,False,False
