diagnosis_key,disease_area,disease_name,diag3_raw,diag3_code,diag3_description,diag4_raw,diag4_code,diag4_description
1,CARDIOVASCULAR,ABNORMALITIES OF HEART BEAT,R00 (ABN HEART BEAT),R00,ABN HEART BEAT,R000 (TACHYCARDIA UNSPECIFIED),R000,TACHYCARDIA UNSPECIFIED
2,CARDIOVASCULAR,ABNORMALITIES OF HEART BEAT,R00 (ABN HEART BEAT),R00,ABN HEART BEAT,R001 (BRADYCARDIA UNSPECIFIED),R001,BRADYCARDIA UNSPECIFIED
3,CARDIOVASCULAR,ABNORMALITIES OF HEART BEAT,R00 (ABN HEART BEAT),R00,ABN HEART BEAT,R002 (PALPITATIONS),R002,PALPITATIONS
4,CARDIOVASCULAR,ABNORMALITIES OF HEART BEAT,R00 (ABN HEART BEAT),R00,ABN HEART BEAT,R008 (OTH/UNSP ABN HEART BEAT),R008,OTH/UNSP ABN HEART BEAT
5,CARDIOVASCULAR,ANGINA,I20 (ANGINA PECTORIS),I20,ANGINA PECTORIS,I200 (UNSTABLE ANGINA),I200,UNSTABLE ANGINA
6,CARDIOVASCULAR,ANGINA,I20 (ANGINA PECTORIS),I20,ANGINA PECTORIS,I201 (ANGINA PECT+DOCUM SPASM),I201,ANGINA PECT+DOCUM SPASM
7,CARDIOVASCULAR,ANGINA,I20 (ANGINA PECTORIS),I20,ANGINA PECTORIS,I208 (OTH FORMS ANGINA PECTOR),I208,OTH FORMS ANGINA PECTOR
8,CARDIOVASCULAR,ANGINA,I20 (ANGINA PECTORIS),I20,ANGINA PECTORIS,I209 (ANGINA PECTORIS UNSP),I209,ANGINA PECTORIS UNSP
9,CARDIOVASCULAR,AORTIC ANEURYSM AND DISSECTION,I71 (AORT ANEURYSM/DISSECTION),I71,AORT ANEURYSM/DISSECTION,I710 (DISSECT AORTA (ANY PART)),I710,DISSECT AORTA (ANY PART)
10,CARDIOVASCULAR,AORTIC ANEURYSM AND DISSECTION,I71 (AORT ANEURYSM/DISSECTION),I71,AORT ANEURYSM/DISSECTION,I712 (THOR AORT ANEUR NO RUPT),I712,THOR AORT ANEUR NO RUPT
11,CARDIOVASCULAR,AORTIC ANEURYSM AND DISSECTION,I71 (AORT ANEURYSM/DISSECTION),I71,AORT ANEURYSM/DISSECTION,I714 (ABD AORT ANEUR NO RUPT),I714,ABD AORT ANEUR NO RUPT
12,CARDIOVASCULAR,AORTIC ANEURYSM AND DISSECTION,I71 (AORT ANEURYSM/DISSECTION),I71,AORT ANEURYSM/DISSECTION,I719 (AORT ANEUR UNS ST N/RUPT),I719,AORT ANEUR UNS ST N/RUPT
13,CARDIOVASCULAR,ATRIAL FIBRILLATION,I48 (ATRIAL FIBRILLAT/FLUTTER),I48,ATRIAL FIBRILLAT/FLUTTER,I480 (PAROXYS ATRIAL FIBRILLAT),I480,PAROXYS ATRIAL FIBRILLAT
14,CARDIOVASCULAR,ATRIAL FIBRILLATION,I48 (ATRIAL FIBRILLAT/FLUTTER),I48,ATRIAL FIBRILLAT/FLUTTER,I481 (PERSIST ATRIAL FIBRILLAT),I481,PERSIST ATRIAL FIBRILLAT
15,CARDIOVASCULAR,ATRIAL FIBRILLATION,I48 (ATRIAL FIBRILLAT/FLUTTER),I48,ATRIAL FIBRILLAT/FLUTTER,I482 (CHRONIC ATRIAL FIBRILLAT),I482,CHRONIC ATRIAL FIBRILLAT
16,CARDIOVASCULAR,ATRIAL FIBRILLATION,I48 (ATRIAL FIBRILLAT/FLUTTER),I48,ATRIAL FIBRILLAT/FLUTTER,I483 (TYPICAL ATRIAL FIBRILLAT),I483,TYPICAL ATRIAL FIBRILLAT
17,CARDIOVASCULAR,ATRIAL FIBRILLATION,I48 (ATRIAL FIBRILLAT/FLUTTER),I48,ATRIAL FIBRILLAT/FLUTTER,I484 (ATYPICAL ATRIAL FIBRILLA),I484,ATYPICAL ATRIAL FIBRILLA
18,CARDIOVASCULAR,ATRIAL FIBRILLATION,I48 (ATRIAL FIBRILLAT/FLUTTER),I48,ATRIAL FIBRILLAT/FLUTTER,I489 (ATRIAL FIBRIL/FLUTTER UN),I489,ATRIAL FIBRIL/FLUTTER UN
19,CARDIOVASCULAR,CARDIOMYOPATHY,I40 (ACUTE MYOCARDITIS),I40,ACUTE MYOCARDITIS,I409 (ACUTE MYOCARDITIS UNSP),I409,ACUTE MYOCARDITIS UNSP
20,CARDIOVASCULAR,CARDIOMYOPATHY,I42 (CARDIOMYOPATHY),I42,CARDIOMYOPATHY,I420 (DILATED CARDIOMYOPATHY),I420,DILATED CARDIOMYOPATHY
21,CARDIOVASCULAR,CARDIOMYOPATHY,I42 (CARDIOMYOPATHY),I42,CARDIOMYOPATHY,I421 (OBST HYPERTROPH CARDIOMY),I421,OBST HYPERTROPH CARDIOMY
22,CARDIOVASCULAR,CARDIOMYOPATHY,I42 (CARDIOMYOPATHY),I42,CARDIOMYOPATHY,I422 (O/HYPERTROPH CARDIOMYOP),I422,O/HYPERTROPH CARDIOMYOP
23,CARDIOVASCULAR,CARDIOMYOPATHY,I42 (CARDIOMYOPATHY),I42,CARDIOMYOPATHY,I425 (OTH RESTR CARDIOMYOPATHY),I425,OTH RESTR CARDIOMYOPATHY
24,CARDIOVASCULAR,CARDIOMYOPATHY,I42 (CARDIOMYOPATHY),I42,CARDIOMYOPATHY,I426 (ALCOHOLIC CARDIOMYOPATHY),I426,ALCOHOLIC CARDIOMYOPATHY
25,CARDIOVASCULAR,CARDIOMYOPATHY,I42 (CARDIOMYOPATHY),I42,CARDIOMYOPATHY,I427 (CARDIOMYOP-DRG/O/EXT AGT),I427,CARDIOMYOP-DRG/O/EXT AGT
26,CARDIOVASCULAR,CARDIOMYOPATHY,I42 (CARDIOMYOPATHY),I42,CARDIOMYOPATHY,I428 (OTHER CARDIOMYOPATHIES),I428,OTHER CARDIOMYOPATHIES
27,CARDIOVASCULAR,CARDIOMYOPATHY,I42 (CARDIOMYOPATHY),I42,CARDIOMYOPATHY,I429 (CARDIOMYOPATHY UNSP),I429,CARDIOMYOPATHY UNSP
28,CARDIOVASCULAR,CHRONIC ISCHEMIC HEART DISEASE,I25 (CHR ISCHAEM HRT DIS),I25,CHR ISCHAEM HRT DIS,I250 (ATHEROSCL CARDIOVASC DIS),I250,ATHEROSCL CARDIOVASC DIS
29,CARDIOVASCULAR,CHRONIC ISCHEMIC HEART DISEASE,I25 (CHR ISCHAEM HRT DIS),I25,CHR ISCHAEM HRT DIS,I251 (ATHEROSCL HEART DIS),I251,ATHEROSCL HEART DIS
30,CARDIOVASCULAR,CHRONIC ISCHEMIC HEART DISEASE,I25 (CHR ISCHAEM HRT DIS),I25,CHR ISCHAEM HRT DIS,I252 (OLD MYOCARD INFARCT),I252,OLD MYOCARD INFARCT
31,CARDIOVASCULAR,CHRONIC ISCHEMIC HEART DISEASE,I25 (CHR ISCHAEM HRT DIS),I25,CHR ISCHAEM HRT DIS,I253 (ANEURYSM OF HEART),I253,ANEURYSM OF HEART
32,CARDIOVASCULAR,CHRONIC ISCHEMIC HEART DISEASE,I25 (CHR ISCHAEM HRT DIS),I25,CHR ISCHAEM HRT DIS,I254 (CORO ARTERY ANEUR+DISSEC),I254,CORO ARTERY ANEUR+DISSEC
33,CARDIOVASCULAR,CHRONIC ISCHEMIC HEART DISEASE,I25 (CHR ISCHAEM HRT DIS),I25,CHR ISCHAEM HRT DIS,I255 (ISCHAEMIC CARDIOMYOPATHY),I255,ISCHAEMIC CARDIOMYOPATHY
34,CARDIOVASCULAR,CHRONIC ISCHEMIC HEART DISEASE,I25 (CHR ISCHAEM HRT DIS),I25,CHR ISCHAEM HRT DIS,I256 (SILENT MYOCARD ISCHAEMIA),I256,SILENT MYOCARD ISCHAEMIA
35,CARDIOVASCULAR,CHRONIC ISCHEMIC HEART DISEASE,I25 (CHR ISCHAEM HRT DIS),I25,CHR ISCHAEM HRT DIS,I258 (O/FRM CHR ISCH HRT DIS),I258,O/FRM CHR ISCH HRT DIS
36,CARDIOVASCULAR,CHRONIC ISCHEMIC HEART DISEASE,I25 (CHR ISCHAEM HRT DIS),I25,CHR ISCHAEM HRT DIS,I259 (CHR ISCHAEM HRT DIS UNSP),I259,CHR ISCHAEM HRT DIS UNSP
37,CARDIOVASCULAR,HEART FAILURE,I50 (HEART FAILURE),I50,HEART FAILURE,I500 (CONGESTIVE HEART FAILURE),I500,CONGESTIVE HEART FAILURE
38,CARDIOVASCULAR,HEART FAILURE,I50 (HEART FAILURE),I50,HEART FAILURE,I501 (LEFT VENTRICULAR FAILURE),I501,LEFT VENTRICULAR FAILURE
39,CARDIOVASCULAR,HEART FAILURE,I50 (HEART FAILURE),I50,HEART FAILURE,I509 (HEART FAILURE UNSP),I509,HEART FAILURE UNSP
40,CARDIOVASCULAR,HYPERTENSION,I10 (ESSENTIAL (PRIM) HYPERT),I10,ESSENTIAL (PRIM) HYPERT,I100 (ESSENTIAL (PRIM) HYPERT),I100,ESSENTIAL (PRIM) HYPERT
41,CARDIOVASCULAR,HYPERTENSION,I11 (HYPERTENSIVE HEART DIS),I11,HYPERTENSIVE HEART DIS,I110 (HYPRTN HRT DIS+HRT FAIL),I110,HYPRTN HRT DIS+HRT FAIL
42,CARDIOVASCULAR,HYPERTENSION,I11 (HYPERTENSIVE HEART DIS),I11,HYPERTENSIVE HEART DIS,I119 (HYPRTN HRT DIS WO HRT FL),I119,HYPRTN HRT DIS WO HRT FL
43,CARDIOVASCULAR,HYPERTENSION,I12 (HYPRTENS RENAL DIS),I12,HYPRTENS RENAL DIS,I120 (HYPRTN REN DIS+REN FAIL),I120,HYPRTN REN DIS+REN FAIL
44,CARDIOVASCULAR,HYPERTENSION,I12 (HYPRTENS RENAL DIS),I12,HYPRTENS RENAL DIS,I129 (HYPRTN REN DIS WO REN FL),I129,HYPRTN REN DIS WO REN FL
45,CARDIOVASCULAR,HYPERTENSION,I13 (HYPRTENS HRT/RENAL DIS),I13,HYPRTENS HRT/RENAL DIS,I130 (HYPTN HT/REN DIS+C HT FL),I130,HYPTN HT/REN DIS+C HT FL
46,CARDIOVASCULAR,HYPERTENSION,I13 (HYPRTENS HRT/RENAL DIS),I13,HYPRTENS HRT/RENAL DIS,I131 (HYPRTN HT/REN DIS+REN FL),I131,HYPRTN HT/REN DIS+REN FL
47,CARDIOVASCULAR,HYPERTENSION,I13 (HYPRTENS HRT/RENAL DIS),I13,HYPRTENS HRT/RENAL DIS,I132 (HYPRTN HT/RN+C HT+REN FL),I132,HYPRTN HT/RN+C HT+REN FL
48,CARDIOVASCULAR,HYPERTENSION,I13 (HYPRTENS HRT/RENAL DIS),I13,HYPRTENS HRT/RENAL DIS,I139 (HYPRTN HRT/REN DIS UNSP),I139,HYPRTN HRT/REN DIS UNSP
49,CARDIOVASCULAR,HYPERTENSION,I15 (SECONDARY HYPERTENSION),I15,SECONDARY HYPERTENSION,I150 (RENOVASCULAR HYPERT),I150,RENOVASCULAR HYPERT
50,CARDIOVASCULAR,HYPERTENSION,I15 (SECONDARY HYPERTENSION),I15,SECONDARY HYPERTENSION,I151 (HYPERT SEC-OTH REN DIS),I151,HYPERT SEC-OTH REN DIS
51,CARDIOVASCULAR,HYPERTENSION,I15 (SECONDARY HYPERTENSION),I15,SECONDARY HYPERTENSION,I152 (HYPERT SEC-ENDOCR DIS),I152,HYPERT SEC-ENDOCR DIS
52,CARDIOVASCULAR,HYPERTENSION,I15 (SECONDARY HYPERTENSION),I15,SECONDARY HYPERTENSION,I158 (OTH SECONDARY HYPERT),I158,OTH SECONDARY HYPERT
53,CARDIOVASCULAR,HYPERTENSION,I15 (SECONDARY HYPERTENSION),I15,SECONDARY HYPERTENSION,I159 (SECONDARY HYPERT UNSP),I159,SECONDARY HYPERT UNSP
54,CARDIOVASCULAR,HYPERTENSION,I27 (OTH PULM HEART DIS),I27,OTH PULM HEART DIS,I270 (PRIM PULMONARY HYPERT),I270,PRIM PULMONARY HYPERT
55,CARDIOVASCULAR,HYPERTENSION,I27 (OTH PULM HEART DIS),I27,OTH PULM HEART DIS,I272 (OTH SEC PULM HYPERT),I272,OTH SEC PULM HYPERT
56,CARDIOVASCULAR,HYPERTENSION,O10 (PRE EX HP COMP PR/CH/PRP),O10,PRE EX HP COMP PR/CH/PRP,O100 (PRE EX ESS HP COMP P/C/P),O100,PRE EX ESS HP COMP P/C/P
57,CARDIOVASCULAR,MYOCARDIAL INFARCTION,I21 (AC MYOCARDIAL INFARCTION),I21,AC MYOCARDIAL INFARCTION,I210 (AC TRANSMUR MI ANT WALL),I210,AC TRANSMUR MI ANT WALL
58,CARDIOVASCULAR,MYOCARDIAL INFARCTION,I21 (AC MYOCARDIAL INFARCTION),I21,AC MYOCARDIAL INFARCTION,I211 (AC TRANSMUR MI INF WALL),I211,AC TRANSMUR MI INF WALL
59,CARDIOVASCULAR,MYOCARDIAL INFARCTION,I21 (AC MYOCARDIAL INFARCTION),I21,AC MYOCARDIAL INFARCTION,I212 (AC TRANSMUR MI OTH SITES),I212,AC TRANSMUR MI OTH SITES
60,CARDIOVASCULAR,MYOCARDIAL INFARCTION,I21 (AC MYOCARDIAL INFARCTION),I21,AC MYOCARDIAL INFARCTION,I213 (AC TRANSMUR MI UNSP SITE),I213,AC TRANSMUR MI UNSP SITE
61,CARDIOVASCULAR,MYOCARDIAL INFARCTION,I21 (AC MYOCARDIAL INFARCTION),I21,AC MYOCARDIAL INFARCTION,I214 (AC SUBENDOCARD MI),I214,AC SUBENDOCARD MI
62,CARDIOVASCULAR,MYOCARDIAL INFARCTION,I21 (AC MYOCARDIAL INFARCTION),I21,AC MYOCARDIAL INFARCTION,I219 (AC MYOCARD INFARCT UNSP),I219,AC MYOCARD INFARCT UNSP
63,CARDIOVASCULAR,MYOCARDIAL INFARCTION,I22 (SUBSEQUENT MI),I22,SUBSEQUENT MI,I220 (SUBSEQUENT MI ANT WALL),I220,SUBSEQUENT MI ANT WALL
64,CARDIOVASCULAR,MYOCARDIAL INFARCTION,I22 (SUBSEQUENT MI),I22,SUBSEQUENT MI,I221 (SUBSEQUENT MI INFER WALL),I221,SUBSEQUENT MI INFER WALL
65,CARDIOVASCULAR,MYOCARDIAL INFARCTION,I22 (SUBSEQUENT MI),I22,SUBSEQUENT MI,I228 (SUBSEQUENT MI OTH SITES),I228,SUBSEQUENT MI OTH SITES
66,CARDIOVASCULAR,MYOCARDIAL INFARCTION,I22 (SUBSEQUENT MI),I22,SUBSEQUENT MI,I229 (SUBSEQUENT MI UNSP SITE),I229,SUBSEQUENT MI UNSP SITE
67,CARDIOVASCULAR,MYOCARDIAL INFARCTION,I23 (CTN COMPLIC AFTER AC MI),I23,CTN COMPLIC AFTER AC MI,I230 (HMOPERIC AFTER AC MI),I230,HMOPERIC AFTER AC MI
68,CARDIOVASCULAR,OTHER CARDIAC ARRHYTHMIAS,I49 (OTH CARDIAC ARRHYTHMIAS),I49,OTH CARDIAC ARRHYTHMIAS,I490 (VENTRIC FIBRILLAT/FLUTT),I490,VENTRIC FIBRILLAT/FLUTT
69,CARDIOVASCULAR,OTHER CARDIAC ARRHYTHMIAS,I49 (OTH CARDIAC ARRHYTHMIAS),I49,OTH CARDIAC ARRHYTHMIAS,I491 (ATRIAL PREM DEPOLARIZAT),I491,ATRIAL PREM DEPOLARIZAT
70,CARDIOVASCULAR,OTHER CARDIAC ARRHYTHMIAS,I49 (OTH CARDIAC ARRHYTHMIAS),I49,OTH CARDIAC ARRHYTHMIAS,I492 (JUNCT PREM DEPOLARIZAT),I492,JUNCT PREM DEPOLARIZAT
71,CARDIOVASCULAR,OTHER CARDIAC ARRHYTHMIAS,I49 (OTH CARDIAC ARRHYTHMIAS),I49,OTH CARDIAC ARRHYTHMIAS,I493 (VENTRIC PREM DEPOLARIZ),I493,VENTRIC PREM DEPOLARIZ
72,CARDIOVASCULAR,OTHER CARDIAC ARRHYTHMIAS,I49 (OTH CARDIAC ARRHYTHMIAS),I49,OTH CARDIAC ARRHYTHMIAS,I494 (OTH/UNSP PREM DEPOLARIZ),I494,OTH/UNSP PREM DEPOLARIZ
73,CARDIOVASCULAR,OTHER CARDIAC ARRHYTHMIAS,I49 (OTH CARDIAC ARRHYTHMIAS),I49,OTH CARDIAC ARRHYTHMIAS,I495 (SICK SINUS SYNDROME),I495,SICK SINUS SYNDROME
74,CARDIOVASCULAR,OTHER CARDIAC ARRHYTHMIAS,I49 (OTH CARDIAC ARRHYTHMIAS),I49,OTH CARDIAC ARRHYTHMIAS,I498 (OTH SPEC CARDIAC ARRHYTH),I498,OTH SPEC CARDIAC ARRHYTH
75,CARDIOVASCULAR,OTHER CARDIAC ARRHYTHMIAS,I49 (OTH CARDIAC ARRHYTHMIAS),I49,OTH CARDIAC ARRHYTHMIAS,I499 (CARDIAC ARRHYTHMIA UNSP),I499,CARDIAC ARRHYTHMIA UNSP
76,CARDIOVASCULAR,OTHER FORMS OF HEART DISEASE,I30 (ACUTE PERICARDITIS),I30,ACUTE PERICARDITIS,I308 (O/FORMS AC PERICARDITIS),I308,O/FORMS AC PERICARDITIS
77,CARDIOVASCULAR,OTHER FORMS OF HEART DISEASE,I30 (ACUTE PERICARDITIS),I30,ACUTE PERICARDITIS,I309 (ACUTE PERICARDITIS UNSP),I309,ACUTE PERICARDITIS UNSP
78,CARDIOVASCULAR,OTHER FORMS OF HEART DISEASE,I31 (OTH DIS OF PERICARDIUM),I31,OTH DIS OF PERICARDIUM,I311 (CHR CONSTRICT PERICARD),I311,CHR CONSTRICT PERICARD
79,CARDIOVASCULAR,OTHER FORMS OF HEART DISEASE,I31 (OTH DIS OF PERICARDIUM),I31,OTH DIS OF PERICARDIUM,I319 (DIS OF PERICARDIUM UNSP),I319,DIS OF PERICARDIUM UNSP
