product_key,portfolio_key,product_label,local_brand_name,int_corporation_name,corporation_group,atc4_raw,atc4_code,atc4_description,molecule_combo,molecule_count,is_combo_molecule,has_not_coded_molecule
52,54,CONCOR,CONCOR,DOMPE,DOMPE,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
53,55,SEQUACOR,SEQUACOR,DOMPE,DOMPE,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
54,56,TENORMIN,TENORMIN,ECUPHARMA,ECUPHARMA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
55,57,CARVEPEN,CARVEPEN,ELPEN,ELPEN,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
56,58,ATENOL,ATENOL,ERREKAPPA EUROTER.,ERREKAPPA EUROTER.,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
57,59,LANDIOBLOC,LANDIOBLOC,EUROMED,EUROMED,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",LANDIOLOL,1,False,False
58,60,NEOCARDON,NEOCARDON,GAP,GAP,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
59,61,INSUCOR,INSUCOR,GLENMARK PHARM,GLENMARK PHARM,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
60,62,BISOPROLOL TECNIGE,BISOPROLOL TECNIGE,GRUPO TECNIMEDE,GRUPO TECNIMEDE,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
61,63,TRAKOR,TRAKOR,I.B.N. SAVIO,I.B.N. SAVIO,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
62,64,NEBIVOLOLO ABC,NEBIVOLOLO ABC,ICE,ICE,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
63,65,BIVOL,BIVOL,INNOVIS,INNOVIS,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
64,66,CARVEDILEN,CARVEDILEN,INNOVIS,INNOVIS,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
65,67,LOBIBETA,LOBIBETA,INNOVIS,INNOVIS,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
66,68,BISOPROLOLO ACC,BISOPROLOLO ACC,INTAS,INTAS,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
67,69,CARVEDILOLO ACC,CARVEDILOLO ACC,INTAS,INTAS,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
68,70,METOPROLOLO ACC,METOPROLOLO ACC,INTAS,INTAS,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",METOPROLOL,1,False,False
69,71,NEBIVOLOLO ACC,NEBIVOLOLO ACC,INTAS,INTAS,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
70,72,EURADAL,EURADAL,ITALFARMACO,ITALFARMACO,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
71,73,DILATREND,DILATREND,ITC FARMA,ITC FARMA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
72,74,TENSIBLOCK,TENSIBLOCK,JAKINMED,JAKINMED,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
73,75,BISOPROLOL KERN,BISOPROLOL KERN,KERN PHARMA,KERN PHARMA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
74,76,PROPRANOLOL KERN,PROPRANOLOL KERN,KERN PHARMA,KERN PHARMA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",PROPRANOLOL,1,False,False
75,77,TRANDATE,TRANDATE,KERN PHARMA,KERN PHARMA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",LABETALOL,1,False,False
76,78,BISOPROLOL KRKA,BISOPROLOL KRKA,KRKA,KRKA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
77,79,BISOPROLOLO KRK,BISOPROLOLO KRK,KRKA,KRKA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
